orig_file,cat,cat_num,magnitude
../Data/armed/3.wav,armed,1,"[[8.0588017e+00 5.8939209e+00 8.6546683e-01 ... 9.5622838e-03
  6.0015046e-03 7.8186775e-03]
 [4.2649870e+00 4.8920388e+00 2.1487265e+00 ... 6.6336445e-03
  4.1288929e-03 1.4114823e-03]
 [1.3836596e+00 2.8896761e+00 1.2375478e+00 ... 1.5226328e-03
  1.5809109e-03 1.5592941e-03]
 ...
 [2.5900906e+01 8.1083899e+00 1.7396175e+00 ... 2.1584590e-03
  2.2413356e-03 2.2157135e-03]
 [3.0611214e+01 1.2253812e+01 1.2682445e+00 ... 4.0312479e-03
  4.1205795e-03 4.1009011e-03]
 [4.0314587e+01 2.1009888e+01 4.2538447e+00 ... 2.8366337e-03
  2.6630631e-03 3.1844461e-03]]"
../Data/armed/3.wav,armed,1,"[[3.0659498e+01 1.5833538e+01 1.8403273e+00 ... 2.0213004e-02
  2.1431806e-02 2.0201949e-02]
 [2.7083578e+01 1.2206057e+01 2.0283599e+00 ... 1.6105350e-02
  1.2305364e-02 6.3745063e-03]
 [2.1906502e+01 8.5211229e+00 1.8204538e+00 ... 2.8868979e-03
  2.8883147e-03 2.9183736e-03]
 ...
 [8.2976707e+01 3.9242825e+01 1.7864974e+00 ... 2.1143606e-02
  2.1162605e-02 2.1172257e-02]
 [5.8623898e+01 3.3015594e+01 3.1966178e+00 ... 2.2490259e-02
  2.2757966e-02 2.2862118e-02]
 [3.0398211e+01 1.4754999e+01 9.0106239e+00 ... 8.1827063e-03
  6.9545452e-03 9.9990191e-03]]"
../Data/armed/3.wav,armed,1,"[[3.85980721e+01 2.01679077e+01 2.42690635e+00 ... 1.10285217e-03
  2.49270233e-04 1.05639081e-03]
 [3.16196861e+01 1.72060528e+01 1.12873125e+00 ... 1.43827135e-02
  1.48005318e-02 1.51001457e-02]
 [1.22239704e+01 1.46366663e+01 2.11167622e+00 ... 2.56611593e-02
  2.56142709e-02 2.56012529e-02]
 ...
 [9.33386230e+00 4.68555737e+00 4.93010139e+00 ... 7.81613402e-03
  7.80921336e-03 7.83955958e-03]
 [8.32327461e+00 4.22598648e+00 4.45768261e+00 ... 9.38116689e-04
  1.08133012e-03 1.19014806e-03]
 [1.13685684e+01 6.15372753e+00 3.55806184e+00 ... 3.12138535e-03
  3.12180934e-03 3.23966611e-03]]"
../Data/armed/3.wav,armed,1,"[[2.3060608e+01 1.2401140e+01 6.7507994e-01 ... 7.3955365e-04
  1.3887888e-03 8.4899407e-04]
 [1.8132286e+01 1.0554611e+01 2.3251641e+00 ... 6.9306530e-03
  6.4126644e-03 5.7767620e-03]
 [9.1156473e+00 4.6135983e+00 2.1299210e+00 ... 8.1172939e-03
  8.0818729e-03 8.1259040e-03]
 ...
 [1.6225426e+01 6.9704986e+00 3.7463534e+00 ... 5.2334038e-03
  5.1754890e-03 5.2019469e-03]
 [1.1876726e+01 4.9872713e+00 3.0163763e+00 ... 5.3153234e-03
  6.0519716e-03 6.3280687e-03]
 [9.6709728e+00 4.1992254e+00 3.0242999e+00 ... 5.6924196e-03
  6.4477581e-03 3.8223865e-03]]"
../Data/armed/3.wav,armed,1,"[[3.26257706e+01 1.80304699e+01 1.95660150e+00 ... 9.74833558e-04
  6.82375685e-04 9.45244741e-04]
 [2.52089043e+01 1.49654951e+01 2.39027667e+00 ... 5.72292926e-03
  5.85590955e-03 5.93189849e-03]
 [1.34978991e+01 5.25843000e+00 4.13838768e+00 ... 5.64501202e-03
  5.55316545e-03 5.60464477e-03]
 ...
 [4.52096519e+01 1.80692406e+01 8.41139019e-01 ... 1.43863843e-03
  1.43369811e-03 1.47055543e-03]
 [5.01094627e+01 2.24602070e+01 1.81330633e+00 ... 5.57635631e-03
  6.83156075e-03 7.27141974e-03]
 [5.33648911e+01 2.33882256e+01 9.83038366e-01 ... 1.06411185e-02
  8.25317949e-03 1.37604699e-02]]"
../Data/armed/3.wav,armed,1,"[[6.0716496e+01 2.3966331e+01 8.5729653e-01 ... 3.6224231e-04
  1.0237100e-04 4.4623591e-04]
 [6.5314217e+01 2.6096203e+01 6.2627953e-01 ... 1.1901089e-02
  1.1925650e-02 1.2030829e-02]
 [7.9573402e+01 3.3647774e+01 2.6050553e+00 ... 1.6586009e-02
  1.6622223e-02 1.6599663e-02]
 ...
 [1.3805416e+01 6.3589816e+00 1.5188469e+00 ... 4.6648928e-03
  4.6056700e-03 4.6282359e-03]
 [1.7796329e+01 9.5591631e+00 1.4158624e+00 ... 5.1955036e-03
  5.1112226e-03 5.0691483e-03]
 [1.7807234e+01 7.2641215e+00 1.9549408e+00 ... 3.1099580e-03
  3.3475822e-03 2.7389333e-03]]"
../Data/armed/3.wav,armed,1,"[[3.5958869e+00 6.7573619e+00 1.3825642e+00 ... 4.5628008e-03
  4.5054345e-03 4.4844346e-03]
 [3.7623897e+00 8.9015226e+00 5.5075154e+00 ... 1.5211104e-04
  3.3811224e-03 4.7697397e-03]
 [1.2883471e+01 9.3337526e+00 4.0984712e+00 ... 4.5601483e-03
  4.5389696e-03 4.5062322e-03]
 ...
 [1.8219433e+01 7.8139043e+00 1.2148378e+00 ... 7.0977425e-03
  7.1877707e-03 7.1686734e-03]
 [1.4543583e+01 4.3992929e+00 1.7343096e+00 ... 2.2817329e-03
  2.3221262e-03 2.4404465e-03]
 [1.5623968e+01 7.5610471e+00 9.1417956e-01 ... 4.5359991e-03
  3.6757409e-03 5.7542394e-03]]"
../Data/armed/3.wav,armed,1,"[[1.3738990e+01 9.2309326e-01 1.9301113e+00 ... 1.2588577e-02
  1.1223106e-02 1.2432665e-02]
 [2.2532888e+01 1.2226564e+01 3.6281011e+00 ... 5.4129423e-03
  1.3413795e-02 1.8223437e-02]
 [4.0550926e+01 2.0928673e+01 1.5281391e+00 ... 1.5817247e-02
  1.5935345e-02 1.5887853e-02]
 ...
 [1.7613661e+01 8.7578506e+00 1.2258213e+00 ... 1.8120216e-03
  1.8034480e-03 1.7932625e-03]
 [1.7206762e+01 6.3542347e+00 1.0706631e+00 ... 9.0513082e-04
  1.0885858e-03 1.1775719e-03]
 [1.7697308e+01 8.0238743e+00 1.5543704e+00 ... 2.1302530e-03
  2.6612305e-03 2.0936098e-04]]"
../Data/armed/3.wav,armed,1,"[[7.46553230e+00 2.28490281e+00 1.53728414e+00 ... 7.39081483e-03
  7.04351440e-03 7.28760613e-03]
 [1.63585320e+01 1.12751827e+01 4.68317413e+00 ... 1.34627530e-02
  1.03333965e-02 5.67935035e-03]
 [3.12059002e+01 1.85539894e+01 7.04138815e-01 ... 5.23195276e-03
  5.18053072e-03 5.19329589e-03]
 ...
 [1.73806667e+01 8.72198486e+00 1.40334487e+00 ... 3.97394504e-03
  3.86644737e-03 3.90033843e-03]
 [1.78019676e+01 6.48948383e+00 1.52173913e+00 ... 2.28688167e-03
  2.97462149e-03 3.19638406e-03]
 [1.90243759e+01 8.84179592e+00 1.08208203e+00 ... 7.31939962e-03
  8.52703210e-03 4.62882128e-03]]"
../Data/armed/3.wav,armed,1,"[[6.4011742e+01 2.7055182e+01 7.3284423e-01 ... 1.1437745e-02
  1.2746515e-02 1.1660880e-02]
 [6.0322128e+01 2.9981768e+01 2.8214855e+00 ... 2.9555583e-02
  2.4187235e-02 1.6468683e-02]
 [3.8977470e+01 2.9472504e+01 7.5910363e+00 ... 2.9481638e-02
  2.9464349e-02 2.9408297e-02]
 ...
 [1.0501442e+01 7.4519525e+00 3.5973740e+00 ... 1.3171391e-03
  1.3585938e-03 1.3461154e-03]
 [1.2771898e+01 8.3243084e+00 1.4631413e+00 ... 1.8039584e-03
  1.0398019e-03 1.7354994e-04]
 [8.4502048e+00 3.9495282e+00 3.2805276e+00 ... 6.0127368e-03
  5.5237580e-03 6.9061732e-03]]"
